,combo-id,inst-id,file-name,stripe-thresh-cov-zero,file-subpaths
200,2,2-1,2-1.png,264.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-1.png']"
201,2,2-2,2-2.png,1010.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-2.png']"
202,2,2-3,2-3.png,252.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-3.png']"
203,2,2-4,2-4.png,52.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-4.png']"
204,2,2-5,2-5.png,119.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-5.png']"
205,2,2-6,2-6.png,269.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-6.png']"
206,2,2-7,2-7.png,338.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-7.png']"
207,2,2-8,2-8.png,620.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-8.png']"
208,2,2-9,2-9.png,459.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-9.png']"
209,2,2-10,2-10.png,57.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-10.png']"
