,combo-id,inst-id,file-name,stripe-thresh-cov-zero
8622,86,86-23,86\86-23.png,32.0
8623,86,86-24,86\86-24.png,15.0
8624,86,86-25,86\86-25.png,964.0
8625,86,86-26,86\86-26.png,97.0
8626,86,86-27,86\86-27.png,147.0
8627,86,86-28,86\86-28.png,13.0
8628,86,86-29,86\86-29.png,56.0
8629,86,86-30,86\86-30.png,20.0
8630,86,86-31,86\86-31.png,889.0
8631,86,86-32,86\86-32.png,71.0
8632,86,86-33,86\86-33.png,495.0
8633,86,86-34,86\86-34.png,58.0
8634,86,86-35,86\86-35.png,0.0
8635,86,86-36,86\86-36.png,831.0
8636,86,86-37,86\86-37.png,30.0
8637,86,86-38,86\86-38.png,41.0
8638,86,86-39,86\86-39.png,190.0
8639,86,86-40,86\86-40.png,1265.0
8640,86,86-41,86\86-41.png,276.0
8641,86,86-42,86\86-42.png,341.0
8642,86,86-43,86\86-43.png,1057.0
8643,86,86-44,86\86-44.png,836.0
8644,86,86-45,86\86-45.png,1129.0
8645,86,86-46,86\86-46.png,6.0
8646,86,86-47,86\86-47.png,79.0
8647,86,86-48,86\86-48.png,243.0
8648,86,86-49,86\86-49.png,904.0
8649,86,86-50,86\86-50.png,68.0
8650,86,86-51,86\86-51.png,105.0
8651,86,86-52,86\86-52.png,172.0
8652,86,86-53,86\86-53.png,22.0
8653,86,86-54,86\86-54.png,80.0
8654,86,86-55,86\86-55.png,136.0
8655,86,86-56,86\86-56.png,884.0
8656,86,86-57,86\86-57.png,348.0
8657,86,86-58,86\86-58.png,263.0
8658,86,86-59,86\86-59.png,264.0
8659,86,86-60,86\86-60.png,545.0
8660,86,86-61,86\86-61.png,428.0
8661,86,86-62,86\86-62.png,62.0
8662,86,86-63,86\86-63.png,742.0
8663,86,86-64,86\86-64.png,1421.0
8664,86,86-65,86\86-65.png,81.0
8665,86,86-66,86\86-66.png,318.0
8666,86,86-67,86\86-67.png,142.0
8667,86,86-68,86\86-68.png,80.0
8668,86,86-69,86\86-69.png,122.0
8669,86,86-70,86\86-70.png,132.0
8670,86,86-71,86\86-71.png,10.0
8671,86,86-72,86\86-72.png,148.0
8672,86,86-73,86\86-73.png,114.0
8673,86,86-74,86\86-74.png,673.0
8674,86,86-75,86\86-75.png,866.0
8675,86,86-76,86\86-76.png,115.0
8676,86,86-77,86\86-77.png,1191.0
8677,86,86-78,86\86-78.png,156.0
8678,86,86-79,86\86-79.png,225.0
8679,86,86-80,86\86-80.png,3.0
8680,86,86-81,86\86-81.png,400.0
8681,86,86-82,86\86-82.png,170.0
8682,86,86-83,86\86-83.png,22.0
8683,86,86-84,86\86-84.png,66.0
8684,86,86-85,86\86-85.png,257.0
8685,86,86-86,86\86-86.png,220.0
8686,86,86-87,86\86-87.png,170.0
8687,86,86-88,86\86-88.png,284.0
8688,86,86-89,86\86-89.png,226.0
8689,86,86-90,86\86-90.png,103.0
8690,86,86-91,86\86-91.png,297.0
8691,86,86-92,86\86-92.png,925.0
8692,86,86-93,86\86-93.png,157.0
8693,86,86-94,86\86-94.png,108.0
8694,86,86-95,86\86-95.png,0.0
8695,86,86-96,86\86-96.png,32.0
8696,86,86-97,86\86-97.png,234.0
8697,86,86-98,86\86-98.png,864.0
8698,86,86-99,86\86-99.png,164.0
8699,86,86-100,86\86-100.png,379.0
8900,89,89-1,89\89-1.png,91.0
8901,89,89-2,89\89-2.png,826.0
8902,89,89-3,89\89-3.png,61.0
8903,89,89-4,89\89-4.png,22.0
8904,89,89-5,89\89-5.png,41.0
8905,89,89-6,89\89-6.png,100.0
8906,89,89-7,89\89-7.png,184.0
8907,89,89-8,89\89-8.png,9.0
8908,89,89-9,89\89-9.png,1441.0
8909,89,89-10,89\89-10.png,321.0
8910,89,89-11,89\89-11.png,157.0
8911,89,89-12,89\89-12.png,148.0
8912,89,89-13,89\89-13.png,37.0
8913,89,89-14,89\89-14.png,21.0
8914,89,89-15,89\89-15.png,35.0
8915,89,89-16,89\89-16.png,148.0
8916,89,89-17,89\89-17.png,440.0
8917,89,89-18,89\89-18.png,287.0
8918,89,89-19,89\89-19.png,223.0
8919,89,89-20,89\89-20.png,33.0
8920,89,89-21,89\89-21.png,129.0
8921,89,89-22,89\89-22.png,983.0
8922,89,89-23,89\89-23.png,455.0
8923,89,89-24,89\89-24.png,714.0
8924,89,89-25,89\89-25.png,24.0
8925,89,89-26,89\89-26.png,51.0
8926,89,89-27,89\89-27.png,374.0
8927,89,89-28,89\89-28.png,28.0
8928,89,89-29,89\89-29.png,27.0
8929,89,89-30,89\89-30.png,1817.0
8930,89,89-31,89\89-31.png,297.0
8931,89,89-32,89\89-32.png,138.0
8932,89,89-33,89\89-33.png,4.0
8933,89,89-34,89\89-34.png,539.0
8934,89,89-35,89\89-35.png,154.0
8935,89,89-36,89\89-36.png,685.0
8936,89,89-37,89\89-37.png,109.0
8937,89,89-38,89\89-38.png,1714.0
8938,89,89-39,89\89-39.png,202.0
8939,89,89-40,89\89-40.png,339.0
8940,89,89-41,89\89-41.png,559.0
8941,89,89-42,89\89-42.png,71.0
8942,89,89-43,89\89-43.png,969.0
8943,89,89-44,89\89-44.png,1234.0
8944,89,89-45,89\89-45.png,299.0
8945,89,89-46,89\89-46.png,916.0
8946,89,89-47,89\89-47.png,88.0
8947,89,89-48,89\89-48.png,98.0
8948,89,89-49,89\89-49.png,716.0
8949,89,89-50,89\89-50.png,890.0
8950,89,89-51,89\89-51.png,6.0
8951,89,89-52,89\89-52.png,300.0
8952,89,89-53,89\89-53.png,375.0
8953,89,89-54,89\89-54.png,108.0
8954,89,89-55,89\89-55.png,53.0
8955,89,89-56,89\89-56.png,535.0
8956,89,89-57,89\89-57.png,182.0
8957,89,89-58,89\89-58.png,80.0
8958,89,89-59,89\89-59.png,107.0
8959,89,89-60,89\89-60.png,41.0
8960,89,89-61,89\89-61.png,12.0
8961,89,89-62,89\89-62.png,128.0
8962,89,89-63,89\89-63.png,211.0
8963,89,89-64,89\89-64.png,153.0
8964,89,89-65,89\89-65.png,11.0
8965,89,89-66,89\89-66.png,23.0
8966,89,89-67,89\89-67.png,196.0
8967,89,89-68,89\89-68.png,20.0
8968,89,89-69,89\89-69.png,337.0
8969,89,89-70,89\89-70.png,223.0
8970,89,89-71,89\89-71.png,127.0
8971,89,89-72,89\89-72.png,23.0
8972,89,89-73,89\89-73.png,467.0
8973,89,89-74,89\89-74.png,30.0
8974,89,89-75,89\89-75.png,393.0
8975,89,89-76,89\89-76.png,209.0
8976,89,89-77,89\89-77.png,30.0
8977,89,89-78,89\89-78.png,124.0
8978,89,89-79,89\89-79.png,165.0
8979,89,89-80,89\89-80.png,716.0
8980,89,89-81,89\89-81.png,1491.0
8981,89,89-82,89\89-82.png,160.0
8982,89,89-83,89\89-83.png,201.0
8983,89,89-84,89\89-84.png,16.0
8984,89,89-85,89\89-85.png,478.0
8985,89,89-86,89\89-86.png,190.0
8986,89,89-87,89\89-87.png,733.0
8987,89,89-88,89\89-88.png,612.0
8988,89,89-89,89\89-89.png,420.0
8989,89,89-90,89\89-90.png,820.0
8990,89,89-91,89\89-91.png,17.0
8991,89,89-92,89\89-92.png,409.0
8992,89,89-93,89\89-93.png,12.0
8993,89,89-94,89\89-94.png,11.0
8994,89,89-95,89\89-95.png,21.0
8995,89,89-96,89\89-96.png,460.0
8996,89,89-97,89\89-97.png,174.0
8997,89,89-98,89\89-98.png,161.0
8998,89,89-99,89\89-99.png,44.0
8999,89,89-100,89\89-100.png,12.0
9200,92,92-1,92\92-1.png,467.0
9201,92,92-2,92\92-2.png,65.0
9202,92,92-3,92\92-3.png,332.0
9203,92,92-4,92\92-4.png,97.0
9204,92,92-5,92\92-5.png,1603.0
9205,92,92-6,92\92-6.png,720.0
9206,92,92-7,92\92-7.png,81.0
9207,92,92-8,92\92-8.png,113.0
9208,92,92-9,92\92-9.png,23.0
9209,92,92-10,92\92-10.png,628.0
9210,92,92-11,92\92-11.png,157.0
9211,92,92-12,92\92-12.png,38.0
9212,92,92-13,92\92-13.png,9.0
9213,92,92-14,92\92-14.png,718.0
9214,92,92-15,92\92-15.png,1177.0
9215,92,92-16,92\92-16.png,318.0
9216,92,92-17,92\92-17.png,160.0
9217,92,92-18,92\92-18.png,294.0
9218,92,92-19,92\92-19.png,419.0
9219,92,92-20,92\92-20.png,1685.0
9220,92,92-21,92\92-21.png,142.0
9221,92,92-22,92\92-22.png,108.0
9222,92,92-23,92\92-23.png,57.0
9223,92,92-24,92\92-24.png,123.0
9224,92,92-25,92\92-25.png,1192.0
9225,92,92-26,92\92-26.png,1005.0
9226,92,92-27,92\92-27.png,13.0
9227,92,92-28,92\92-28.png,614.0
9228,92,92-29,92\92-29.png,369.0
9229,92,92-30,92\92-30.png,126.0
9230,92,92-31,92\92-31.png,1438.0
9231,92,92-32,92\92-32.png,580.0
9232,92,92-33,92\92-33.png,931.0
9233,92,92-34,92\92-34.png,87.0
9234,92,92-35,92\92-35.png,148.0
9235,92,92-36,92\92-36.png,95.0
9236,92,92-37,92\92-37.png,59.0
9237,92,92-38,92\92-38.png,91.0
9238,92,92-39,92\92-39.png,718.0
9239,92,92-40,92\92-40.png,113.0
9240,92,92-41,92\92-41.png,1046.0
9241,92,92-42,92\92-42.png,147.0
9242,92,92-43,92\92-43.png,148.0
9243,92,92-44,92\92-44.png,211.0
9244,92,92-45,92\92-45.png,290.0
9245,92,92-46,92\92-46.png,27.0
9246,92,92-47,92\92-47.png,19.0
9247,92,92-48,92\92-48.png,331.0
9248,92,92-49,92\92-49.png,62.0
9249,92,92-50,92\92-50.png,373.0
9250,92,92-51,92\92-51.png,185.0
9251,92,92-52,92\92-52.png,294.0
9252,92,92-53,92\92-53.png,216.0
9253,92,92-54,92\92-54.png,48.0
9254,92,92-55,92\92-55.png,13.0
9255,92,92-56,92\92-56.png,165.0
9256,92,92-57,92\92-57.png,199.0
9257,92,92-58,92\92-58.png,1993.0
9258,92,92-59,92\92-59.png,477.0
9259,92,92-60,92\92-60.png,1649.0
9260,92,92-61,92\92-61.png,21.0
9261,92,92-62,92\92-62.png,141.0
9262,92,92-63,92\92-63.png,7.0
9263,92,92-64,92\92-64.png,271.0
9264,92,92-65,92\92-65.png,58.0
9265,92,92-66,92\92-66.png,12.0
9266,92,92-67,92\92-67.png,654.0
9267,92,92-68,92\92-68.png,165.0
9268,92,92-69,92\92-69.png,233.0
9269,92,92-70,92\92-70.png,15.0
9270,92,92-71,92\92-71.png,112.0
9271,92,92-72,92\92-72.png,38.0
9272,92,92-73,92\92-73.png,0.0
9273,92,92-74,92\92-74.png,709.0
9274,92,92-75,92\92-75.png,953.0
9275,92,92-76,92\92-76.png,781.0
9276,92,92-77,92\92-77.png,4.0
9277,92,92-78,92\92-78.png,479.0
9278,92,92-79,92\92-79.png,1258.0
9279,92,92-80,92\92-80.png,894.0
9280,92,92-81,92\92-81.png,308.0
9281,92,92-82,92\92-82.png,121.0
9282,92,92-83,92\92-83.png,1339.0
9283,92,92-84,92\92-84.png,41.0
9284,92,92-85,92\92-85.png,318.0
9285,92,92-86,92\92-86.png,45.0
9286,92,92-87,92\92-87.png,368.0
9287,92,92-88,92\92-88.png,18.0
9288,92,92-89,92\92-89.png,60.0
9289,92,92-90,92\92-90.png,118.0
9290,92,92-91,92\92-91.png,116.0
9291,92,92-92,92\92-92.png,865.0
9292,92,92-93,92\92-93.png,161.0
9293,92,92-94,92\92-94.png,270.0
9294,92,92-95,92\92-95.png,668.0
9295,92,92-96,92\92-96.png,35.0
9296,92,92-97,92\92-97.png,652.0
9297,92,92-98,92\92-98.png,160.0
9298,92,92-99,92\92-99.png,936.0
9299,92,92-100,92\92-100.png,913.0
9500,95,95-1,95\95-1.png,288.0
9501,95,95-2,95\95-2.png,31.0
9502,95,95-3,95\95-3.png,47.0
9503,95,95-4,95\95-4.png,169.0
9504,95,95-5,95\95-5.png,106.0
9505,95,95-6,95\95-6.png,38.0
9506,95,95-7,95\95-7.png,78.0
9507,95,95-8,95\95-8.png,81.0
9508,95,95-9,95\95-9.png,255.0
9509,95,95-10,95\95-10.png,807.0
9510,95,95-11,95\95-11.png,125.0
9511,95,95-12,95\95-12.png,88.0
9512,95,95-13,95\95-13.png,44.0
9513,95,95-14,95\95-14.png,128.0
9514,95,95-15,95\95-15.png,239.0
9515,95,95-16,95\95-16.png,219.0
9516,95,95-17,95\95-17.png,16.0
9517,95,95-18,95\95-18.png,250.0
9518,95,95-19,95\95-19.png,787.0
9519,95,95-20,95\95-20.png,662.0
9520,95,95-21,95\95-21.png,171.0
9521,95,95-22,95\95-22.png,210.0
9522,95,95-23,95\95-23.png,88.0
9523,95,95-24,95\95-24.png,189.0
9524,95,95-25,95\95-25.png,126.0
9525,95,95-26,95\95-26.png,391.0
9526,95,95-27,95\95-27.png,116.0
